city,state_id,state_name,county_fips,county_name,zips
O'Donnell,TX,Texas,48305,Lynn,79351
Wallowa,OR,Oregon,41063,Wallowa,97885
Ninilchik,AK,Alaska,2122,Kenai Peninsula,99639
Crawford,GA,Georgia,13221,Oglethorpe,30630
Plainfield,WI,Wisconsin,55137,Waushara,54966
Rushford Village,MN,Minnesota,27045,Fillmore,55962 55971
Shalimar,FL,Florida,12091,Okaloosa,32579
Roosevelt,NJ,New Jersey,34025,Monmouth,08555 08535
Otisville,MI,Michigan,26049,Genesee,48463
Blooming Grove,TX,Texas,48349,Navarro,76626
Aspermont,TX,Texas,48433,Stonewall,79502
Franklin,ID,Idaho,16041,Franklin,83237
Casper Mountain,WY,Wyoming,56025,Natrona,82601
Orient,NY,New York,36103,Suffolk,11957
Lone Rock,WI,Wisconsin,55103,Richland,53556
Copperton,UT,Utah,49035,Salt Lake,84006
Harlem,MT,Montana,30005,Blaine,59526
Simsboro,LA,Louisiana,22061,Lincoln,71275
Coalmont,TN,Tennessee,47061,Grundy,37313
Alton,MO,Missouri,29149,Oregon,65606
Aurora,SD,South Dakota,46011,Brookings,57002
Middletown,MI,Michigan,26155,Shiawassee,48867
Beaver Meadows,PA,Pennsylvania,42025,Carbon,18216
Pond Creek,OK,Oklahoma,40053,Grant,73766
Middleburg,VA,Virginia,51107,Loudoun,20118 20117
Calhan,CO,Colorado,8041,El Paso,80808
Royal Center,IN,Indiana,18017,Cass,46978
Gallant,AL,Alabama,1055,Etowah,35972
Hazleton,IA,Iowa,19019,Buchanan,50641
Glasgow,WV,West Virginia,54039,Kanawha,25110 25086
Newman,IL,Illinois,17041,Douglas,61942
Warrenton,NC,North Carolina,37185,Warren,27589
Matinecock,NY,New York,36059,Nassau,11560
Blackduck,MN,Minnesota,27007,Beltrami,56630 56647
Penney Farms,FL,Florida,12019,Clay,32079 32043
Malin,OR,Oregon,41035,Klamath,97632
Pawnee City,NE,Nebraska,31133,Pawnee,68420
